name;short_name;streetAddress;department;province;district;area
ORGANIZACION NO GUBERNAMENTAL OXIGENO PARA EL MUNDO;ONG OPEM;JR. TARAPACA 930 - INTERIOR 2;UCAYALI;CORONEL PORTILLO;CALLERIA;AMBIENTE
ORGANIZACION NO GUBERNAMENTAL PARA EL DESARROLLO CLARIDAD ¡SI!;;CALLE PROGRESO 111;LORETO;ALTO AMAZONAS;YURIMAGUAS;AMBIENTE / GÉNERO
ORGANIZACION NO GUBERNAMENTAL PARA EL DESARROLLO DE UNA SOCIEDAD JUSTA, ECONOMICA SOLIDARIA Y CUIDADO DEL MEDIO AMBIENTE HACIA UN DESARROLLO SOSTENIBLE;;JR. ESTEBAN PAVLETICH N° 691;HUANUCO;HUANUCO;HUANUCO;AMBIENTE / EDUCACIÓN / GÉNERO / GOBERNABILIDAD / INCLUSIÓN SOCIAL / SALUD / VIVIENDA Y SANEAMIENTO
ORGANIZACION NO GUBERNAMENTAL PARA EL DESARROLLO EQUITATIVO Y SOSTENIDO PARA AMERICA LATINA O.N.G. D-E-S-A;;AV. LOS HEROES 868;LIMA;LIMA;SAN JUAN DE MIRAFLORES;GÉNERO
ORGANIZACIÓN NO GUBERNAMENTAL PARA LA INVESTIGACIÓN ARQUEOLÓGICA TURÍSTICA Y CULTURAL DEL PERÚ;ONG ATC PERU;Jr. Templo del Sol 180 Urb. Mangomarca;LIMA;LIMA;SAN JUAN DE LURIGANCHO;CULTURA
ORGANIZACION NO GUBERNAMENTAL PARA LA PROTECCION DEL NIÑO Y EL MEDIO AMBIENTE DE LA REGION UCAYALI;ONG OPPRONIYEMARU;JR. CALLAO 632;UCAYALI;CORONEL PORTILLO;CALLERIA;EDUCACIÓN
ORGANIZACION NO GUBERNAMENTAL PINTANDO VIDAS;ONG PINTANDO VIDAS;AV. PERU - MZ. P-3 - LOTE 05 - SECTOR 2 - SAN LUIS;HUANUCO;HUANUCO;AMARILIS;EDUCACIÓN / GOBERNABILIDAD / SALUD
ORGANIZACION NO GUBERNAMENTAL RIOS PROFUNDOS;ONG RIOS PROFUNDOS;PASAJE JUDICIAL 108;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;EDUCACIÓN / SALUD
ORGANIZACION NO GUBERNAMENTAL VIDA SALUD PROGRESO INTEGRACION - O.N.G. PROINVISA;;PROLONGACION SAN CARLOS 235;JUNIN;HUANCAYO;HUANCAYO;AMBIENTE / GÉNERO / TRABAJO / VIVIENDA Y SANEAMIENTO
ORGANIZACION NO GUBERNAMENTAL VOZ Y ACCION CIUDADANA;ONG VOZ Y ACCION CIUDADANA;AV. LAS COLINAS 187;LORETO;MAYNAS;BELEN;EDUCACIÓN / GOBERNABILIDAD
ORGANIZACION PARA EL DESARROLLO AMBIENTAL Y TECNOLOGICO;;AA.HH. JUAN PARRA DEL RIEGO, MZA. D LOTE 7, SECTOR II;JUNIN;HUANCAYO;EL TAMBO;EDUCACIÓN / GÉNERO
ORGANIZACION PARA EL DESARROLLO SOSTENIBLE - PERU;ODS-PERU;Jr. Los Manzanos 791 ;JUNIN;HUANCAYO;EL TAMBO;EDUCACIÓN / ENERGÍA/EXTRACTIVA / GÉNERO / INCLUSIÓN SOCIAL / SALUD / TRABAJO
ORGANIZACION PARA LA ECOLOGIA Y LA VIDA;ECO-VIDA;AV. LUIS GONZALES 1456;LAMBAYEQUE;CHICLAYO;CHICLAYO;AGROPECUARIO / COMERCIO Y TURISMO / PRODUCCIÓN
ORGANIZACION PARA LA PREVENCION Y REHABILITACION DE LA SALUD-VISION SIN FRONTERAS;;CALLE DIEGO DE AGÜERO 208 VALLE HERMOSO DE MONTERRICO;LIMA;LIMA;SANTIAGO DE SURCO;GÉNERO
ORGANIZACION REGIONAL DE PUEBLOS INDIGENAS DEL ORIENTE;ORPIO;Av. Alfonso Ugarte N°1718;LORETO;MAYNAS;IQUITOS;AMBIENTE
ORGANIZACION SOCIAL ATARA;ATARA;JR. MANUEL SEGURA 736 - 501;LIMA;LIMA;LINCE;GÉNERO
ORIENTING;;ADOLFO KING 137;LA LIBERTAD;PACASMAYO;PACASMAYO;EDUCACIÓN / SALUD
OTRA COSA PERU;;CALLE LAS CAMELIAS 431;LA LIBERTAD;TRUJILLO;HUANCHACO;AMBIENTE / EDUCACIÓN / GOBERNABILIDAD / SALUD
OYENDO TUS SUEÑOS;;Av. Guardia Civil 356 – Urb. Corpac ;LIMA;LIMA;SAN ISIDRO;SALUD
PACHAILLARIY;;COMUNIDAD CAMPESINA DE HUAYLLACCOCHA S/N;CUSCO;ANTA;HUAROCONDO;EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL / JUSTICIA
PACHAMAMA YAKU;;AV. TACNA 417, DPTO. 101;PIURA;PIURA;CASTILLA;EDUCACIÓN
PARAISO AMAZONICO CORPORATION;PAMCORP;AV. JAVIER PRADO ESTE 1234 - A URB. CORPAC;LIMA;LIMA;SAN ISIDRO;EDUCACIÓN / SALUD
PARIGUANA ORGANIZACION NO GUBERNAMENTAL;PARIGUANA;Calle Inca N°212;CUSCO;CUSCO;SANTIAGO;AGROPECUARIO / AMBIENTE / CULTURA / EDUCACIÓN / PRODUCCIÓN / SALUD
PARWA INSTITUTO DE INVESTIGACION Y DESARROLLO ANDINO;;URB. MARISCAL CACERES MZ. B LOTE 27;AYACUCHO;HUAMANGA;AYACUCHO;AMBIENTE / COMERCIO Y TURISMO / EDUCACIÓN / GÉNERO
PASA LA VOZ;;CALLE LIMA 01 - BARRIO PROFESIONAL;CUSCO;CUSCO;CUSCO;EDUCACIÓN / GÉNERO / SALUD
PASOS FIRMES;;URB. LA LIBERTAD CALLE PIURA 836;LIMA;LIMA;COMAS;EDUCACIÓN / INCLUSIÓN SOCIAL
